2851.TW 中再保 現價:23.30
2852.TW 第一保 現價:15.90
2855.TW 統一證 現價:18.90
2867.TW 三商壽 現價:5.11
2880.TW 華南金 現價:20.80
2881.TW 富邦金 現價:62.4
2881A.TW 富邦特 現價:60.6
2881B.TW 富邦金乙特 現價:59.2
2881C.TW 富邦金丙特 現價:54.9
2882.TW 國泰金 現價:45.20
2882A.TW 國泰特 現價:59.3
2882B.TW 國泰金乙特 現價:59.1
2883.TW 開發金 現價:11.90
2883B.TW 開發金乙特 現價:6.90
2884.TW 玉山金 現價:24.60
2885.TW 元大金 現價:23.95
2886.TW 兆豐金 現價:35.70
2887.TW 台新金 現價:17.65
2887E.TW 台新戊特 現價:49.95
2887F.TW 台新戊特二 現價:46.00
2887Z1.TW 台新己特 現價:16.80
2888.TW 新光金 現價:9.39
2888A.TW 新光金甲特 現價:30.65
2888B.TW 新光金乙特 現價:30.85
2889.TW 國票金 現價:11.70
2890.TW 永豐金 現價:17.10
2891.TW 中信金 現價:23.35
2891B.TW 中信金乙特 現價:59.1
2891C.TW 中信金丙特 現價:58.6
2892.TW 第一金 現價:26.20
2897.TW 王道銀行 現價:9.00
2897A.TW 王道銀甲特 現價:10.00
2901.TW 欣欣 現價:25.50
2903.TW 遠百 現價:21.90
2904.TW 匯僑 現價:19.30
2905.TW 三商 現價:13.85
2906.TW 高林 現價:18.10
2908.TW 特力 現價:20.05
2910.TW 統領 現價:28.70
2911.TW 麗嬰房 現價:6.84
2912.TW 統一超 現價:270.0
2913.TW 農林 現價:24.40
2915.TW 潤泰全 現價:58.9
2916.TWO 滿心 現價:43.75
2923.TW 鼎固-KY 現價:22.60
2924.TWO 宏太-KY 現價:-
2926.TWO 誠品生活 現價:62.2
2929.TW 淘帝-KY 現價:10.45
2937.TWO 集雅社 現價:29.80
2939.TW 凱羿-KY 現價:28.45
2945.TW 三商家購 現價:40.70
2947.TWO 振宇五金 現價:88.0
3002.TW 歐格 現價:13.20
3003.TW 健和興 現價:71.5
3004.TW 豐達科 現價:97.5
3005.TW 神基 現價:70.2
3006.TW 晶豪科 現價:70.8
3008.TW 大立光 現價:2025
3010.TW 華立 現價:87.1
3011.TW 今皓 現價:32.65
3013.TW 晟銘電 現價:42.95
3014.TW 聯陽 現價:134.5
3015.TW 全漢 現價:48.55
3016.TW 嘉晶 現價:57.7
3017.TW 奇鋐 現價:352.0
3018.TW 隆銘綠能 現價:10.15
3019.TW 亞光 現價:62.2
3021.TW 鴻名 現價:23.50
3022.TW 威強電 現價:79.3
3023.TW 信邦 現價:318.5
3024.TW 憶聲 現價:16.80
3025.TW 星通 現價:41.10
3026.TW 禾伸堂 現價:93.9
3027.TW 盛達 現價:45.35
3028.TW 增你強 現價:30.40
3029.TW 零壹 現價:61.1
3030.TW 德律 現價:59.1
3031.TW 佰鴻 現價:17.00
3032.TW 偉訓 現價:66.3
3033.TW 威健 現價:28.80
3034.TW 聯詠 現價:386.0
3035.TW 智原 現價:328.0
3036.TW 文曄 現價:65.1
3036A.TW 文曄甲特 現價:45.70
3037.TW 欣興 現價:174.5
3038.TW 全台 現價:33.70
3040.TW 遠見 現價:29.90
3041.TW 揚智 現價:17.15
3042.TW 晶技 現價:94.4
3043.TW 科風 現價:54.0
3044.TW 健鼎 現價:180.5
3045.TW 台灣大 現價:93.9
3046.TW 建碁 現價:68.5
3047.TW 訊舟 現價:15.30
3048.TW 益登 現價:23.40
3049.TW 和鑫 現價:9.60
3050.TW 鈺德 現價:15.15
3051.TW 力特 現價:31.55
3052.TW 夆典 現價:12.40
3054.TW 立萬利 現價:19.95
3055.TW 蔚華科 現價:39.20
3056.TW 總太 現價:30.70
3057.TW 喬鼎 現價:11.95
3058.TW 立德 現價:20.10
3059.TW 華晶科 現價:33.40
3060.TW 銘異 現價:19.15
3062.TW 建漢 現價:20.25
3064.TWO 泰偉 現價:14.65
3066.TWO 李洲 現價:18.00
3067.TWO 全域 現價:40.55
3071.TWO 協禧 現價:35.75
3073.TWO 天方能源 現價:28.60
3078.TWO 僑威 現價:84.4
3081.TWO 聯亞 現價:92.3
3083.TWO 網龍 現價:42.70
3085.TWO 新零售 現價:19.20
3086.TWO 華義 現價:67.8
3088.TWO 艾訊 現價:100.0
3089.TWO 億杰 現價:-
3090.TW 日電貿 現價:52.0
3092.TW 鴻碩 現價:36.10
3093.TWO 港建* 現價:31.70
3094.TW 聯傑 現價:30.20
3095.TWO 及成 現價:23.15
3105.TWO 穩懋 現價:132.0
3114.TWO 好德 現價:26.10
3115.TWO 富榮綱 現價:10.25
3118.TWO 進階 現價:30.00
3122.TWO 笙泉 現價:24.30
3128.TWO 昇銳 現價:31.50
3130.TW 一零四 現價:205.5
3131.TWO 弘塑 現價:572
3138.TW 耀登 現價:134.0
3141.TWO 晶宏 現價:89.4
3147.TWO 大綜 現價:74.7
3149.TW 正達 現價:13.80
3152.TWO 璟德 現價:187.0
3162.TWO 精確 現價:49.60
3163.TWO 波若威 現價:94.4
3164.TW 景岳 現價:23.20
3167.TW 大量 現價:38.20
3169.TWO 亞信 現價:103.0
3171.TWO 新洲 現價:18.30
3176.TWO 基亞 現價:31.00
3178.TWO 公準 現價:88.2
3188.TWO 鑫龍騰 現價:14.45
3189.TW 景碩 現價:103.0
3191.TWO 和進 現價:13.60
3202.TWO 樺晟 現價:16.05
3205.TWO 佰研 現價:43.70
3206.TWO 志豐 現價:47.20
3207.TWO 耀勝 現價:82.9
3209.TW 全科 現價:33.25
3211.TWO 順達 現價:79.2
3213.TWO 茂訊 現價:64.5
3217.TWO 優群 現價:121.5
3218.TWO 大學光 現價:375.5
3219.TWO 倚強科 現價:52.0
3221.TWO 台嘉碩 現價:26.45
3224.TWO 三顧 現價:43.85
3226.TWO 至寶電 現價:60.8
3227.TWO 原相 現價:113.5
3228.TWO 金麗科 現價:98.5
3229.TW 晟鈦 現價:14.35
3230.TWO 錦明 現價:11.45
3231.TW 緯創 現價:120.5
3232.TWO 昱捷 現價:23.50
3234.TWO 光環 現價:28.15
3236.TWO 千如 現價:26.05
3252.TWO 海灣 現價:20.30
3257.TW 虹冠電 現價:79.3
3259.TWO 鑫創 現價:-
3260.TWO 威剛 現價:76.0
3264.TWO 欣銓 現價:58.2
3265.TWO 台星科 現價:82.3
3266.TW 昇陽 現價:13.50
3268.TWO 海德威 現價:20.70
3272.TWO 東碩 現價:33.15
3276.TWO 宇環 現價:13.90
3284.TWO 太普高 現價:16.25
3285.TWO 微端 現價:22.30
3287.TWO 廣寰科 現價:23.90
3288.TWO 點晶 現價:22.10
3289.TWO 宜特 現價:102.5
3290.TWO 東浦 現價:24.65
3293.TWO 鈊象 現價:562
3294.TWO 英濟 現價:18.10
3296.TW 勝德 現價:16.00
3297.TWO 杭特 現價:15.80
3303.TWO 岱稜 現價:25.45
3305.TW 昇貿 現價:62.7
3306.TWO 鼎天 現價:68.9
3308.TW 聯德 現價:48.95
3310.TWO 佳穎 現價:94.8
3311.TW 閎暉 現價:35.05
3312.TW 弘憶股 現價:21.55
3313.TWO 斐成 現價:10.40
3317.TWO 尼克森 現價:53.5
3321.TW 同泰 現價:6.65
3322.TWO 建舜電 現價:21.90
3323.TWO 加百裕 現價:30.60
3324.TWO 雙鴻 現價:302.0
3325.TWO 旭品 現價:33.60
3332.TWO 幸康 現價:45.25
3338.TW 泰碩 現價:58.5
3339.TWO 泰谷 現價:15.35
3346.TW 麗清 現價:46.40
3349.TWO 寶德 現價:17.30
3354.TWO 律勝 現價:14.60
3356.TW 奇偶 現價:47.40
3357.TWO 臺慶科 現價:100.0
3360.TWO 尚立 現價:12.10
3362.TWO 先進光 現價:158.0
3363.TWO 上詮 現價:59.9
3372.TWO 典範 現價:13.25
3373.TWO 熱映 現價:19.25
3374.TWO 精材 現價:109.0
3376.TW 新日興 現價:80.4
3379.TWO 彬台 現價:12.15
3380.TW 明泰 現價:36.40
3388.TWO 崇越電 現價:68.7
3390.TWO 旭軟 現價:16.85
3402.TWO 漢科 現價:49.30
3406.TW 玉晶光 現價:371.0
3413.TW 京鼎 現價:179.0
